PURCHASE#,CLIENT#,PER#,PAYMENTMETHOD,DELIVERYMETHOD,TOTALAMOUNT
960,1566,753,Credit Card,Pick Up,6
961,382,754,Cash,Mail,6.5
962,887,755,Cash,Pick Up,6
963,1595,756,Debit Card,Pick Up,6
964,931,757,Credit Card,Mail,6.5
965,929,758,Credit Card,Pick Up,6
966,536,759,Cash,Mail,6.5
967,2615,760,Credit Card,Mail,6.5
968,2615,760,Credit Card,Pick Up,6
969,3327,761,Credit Card,Mail,6.5
970,3327,761,Debit Card,Pick Up,6
971,4621,762,Debit Card,Mail,6.5
972,2644,763,Cash,Mail,6.5
973,3419,764,Cash,Mail,6.5
974,3419,764,Credit Card,Pick Up,6
975,2887,765,Credit Card,Mail,6.5
976,4788,766,Credit Card,Mail,6.5
977,4057,767,Cash,Mail,6.5
978,4164,768,Credit Card,Pick Up,6
979,3542,769,Cash,Pick Up,6
980,4543,770,Cash,Pick Up,6
981,3142,771,Credit Card,Mail,6.5
982,3142,771,Cash,Mail,6.5
983,4226,772,Cash,Mail,6.5
984,4226,772,Credit Card,Pick Up,6
985,4563,773,Debit Card,Pick Up,6
986,2673,774,Credit Card,Pick Up,6
987,4505,775,Credit Card,Pick Up,6
988,4505,775,Debit Card,Pick Up,6
989,2905,776,Cash,Pick Up,6
990,2909,777,Credit Card,Pick Up,6
991,3950,778,Cash,Mail,6.5
992,2899,779,Credit Card,Pick Up,6
993,2880,780,Debit Card,Mail,6.5
994,4794,781,Debit Card,Mail,6.5
995,4441,782,Debit Card,Mail,6.5
996,4441,782,Debit Card,Mail,6.5
997,4871,783,Credit Card,Mail,6.5
998,4871,783,Credit Card,Mail,6.5
999,4707,784,Debit Card,Mail,6.5
1000,4626,785,Cash,Pick Up,6
1001,3418,786,Credit Card,Pick Up,6
1,1826,1,Cash,Mail,6.5
2,1826,1,Cash,Pick Up,6
3,446,2,Cash,Mail,6.5
4,446,2,Debit Card,Pick Up,6
5,811,3,Debit Card,Mail,6.5
6,4293,4,Credit Card,Pick Up,6
7,2006,5,Debit Card,Pick Up,6
8,2006,5,Credit Card,Mail,6.5
9,1606,6,Debit Card,Pick Up,6
10,846,7,Cash,Mail,6.5
11,1827,8,Cash,Pick Up,6
12,931,9,Debit Card,Mail,6.5
13,854,10,Cash,Pick Up,6
14,4483,11,Credit Card,Mail,6.5
15,4259,12,Cash,Pick Up,6
16,4259,12,Credit Card,Mail,6.5
17,1770,13,Credit Card,Mail,6.5
18,1770,13,Debit Card,Pick Up,6
19,1811,14,Debit Card,Mail,6.5
20,1046,15,Cash,Pick Up,6
21,2058,16,Debit Card,Pick Up,6
22,2058,16,Cash,Pick Up,6
23,1754,17,Credit Card,Mail,6.5
24,1211,18,Cash,Pick Up,6
25,1472,19,Debit Card,Mail,6.5
26,1681,20,Debit Card,Pick Up,6
27,2221,21,Cash,Pick Up,6
28,1977,22,Credit Card,Mail,6.5
29,2457,23,Cash,Mail,6.5
30,2457,23,Debit Card,Pick Up,6
31,4064,24,Cash,Mail,6.5
32,4064,24,Debit Card,Pick Up,6
33,2017,25,Credit Card,Pick Up,6
34,2426,26,Credit Card,Pick Up,6
35,866,27,Cash,Mail,6.5
36,866,27,Cash,Mail,6.5
37,1736,28,Credit Card,Mail,6.5
38,497,29,Credit Card,Pick Up,6
39,1187,30,Credit Card,Pick Up,6
40,1417,31,Credit Card,Mail,6.5
41,514,32,Debit Card,Pick Up,6
42,859,33,Debit Card,Pick Up,6
43,3542,34,Credit Card,Mail,6.5
44,3542,34,Cash,Pick Up,6
45,4725,35,Credit Card,Mail,6.5
46,4725,35,Debit Card,Mail,6.5
47,3190,36,Cash,Pick Up,6
48,3044,37,Cash,Pick Up,6
49,4727,38,Credit Card,Mail,6.5
50,4727,38,Debit Card,Mail,6.5
51,4485,39,Cash,Mail,6.5
52,1374,40,Cash,Pick Up,6
53,3501,41,Cash,Pick Up,6
54,1997,42,Cash,Pick Up,6
55,3042,43,Cash,Pick Up,6
56,3253,44,Cash,Mail,6.5
57,363,45,Debit Card,Mail,6.5
58,363,45,Debit Card,Pick Up,6
59,3064,46,Debit Card,Mail,6.5
60,3064,46,Cash,Mail,6.5
61,958,47,Credit Card,Mail,6.5
62,4329,48,Debit Card,Pick Up,6
63,4898,49,Debit Card,Pick Up,6
64,4898,49,Credit Card,Mail,6.5
65,2593,50,Debit Card,Mail,6.5
66,3157,51,Debit Card,Pick Up,6
67,4071,52,Credit Card,Mail,6.5
68,2731,53,Credit Card,Mail,6.5
69,4958,54,Cash,Pick Up,6
70,2636,55,Credit Card,Mail,6.5
71,3273,56,Credit Card,Mail,6.5
72,3273,56,Cash,Pick Up,6
73,4072,57,Debit Card,Pick Up,6
74,4072,57,Credit Card,Mail,6.5
75,1899,58,Credit Card,Mail,6.5
76,3014,59,Credit Card,Mail,6.5
77,3869,60,Debit Card,Mail,6.5
78,3869,60,Debit Card,Pick Up,6
79,4424,61,Debit Card,Pick Up,6
80,3332,62,Credit Card,Pick Up,6
81,3813,63,Credit Card,Mail,6.5
82,3821,64,Cash,Pick Up,6
83,3849,65,Credit Card,Mail,6.5
84,1894,66,Credit Card,Pick Up,6
85,283,67,Debit Card,Mail,6.5
86,283,67,Debit Card,Pick Up,6
87,173,68,Cash,Pick Up,6
88,173,68,Credit Card,Mail,6.5
89,483,69,Cash,Pick Up,6
90,908,70,Cash,Mail,6.5
91,1495,71,Credit Card,Pick Up,6
92,1495,71,Cash,Pick Up,6
93,2269,72,Debit Card,Pick Up,6
94,1651,73,Credit Card,Pick Up,6
95,3213,74,Debit Card,Mail,6.5
96,2245,75,Credit Card,Pick Up,6
97,1572,76,Debit Card,Pick Up,6
98,2439,77,Credit Card,Pick Up,6
99,1929,78,Cash,Pick Up,6
100,1929,78,Credit Card,Pick Up,6
101,2608,79,Debit Card,Mail,6.5
102,2608,79,Cash,Pick Up,6
103,2371,80,Cash,Pick Up,6
104,2026,81,Cash,Mail,6.5
105,4888,82,Credit Card,Mail,6.5
106,4888,82,Credit Card,Pick Up,6
107,1020,83,Debit Card,Mail,6.5
108,733,84,Cash,Pick Up,6
109,806,85,Debit Card,Pick Up,6
110,2409,86,Credit Card,Mail,6.5
111,2044,87,Cash,Mail,6.5
112,1904,88,Cash,Pick Up,6
113,1276,89,Cash,Mail,6.5
114,1276,89,Debit Card,Mail,6.5
115,2111,90,Debit Card,Pick Up,6
116,2111,90,Credit Card,Mail,6.5
117,2097,91,Credit Card,Pick Up,6
118,1401,92,Credit Card,Mail,6.5
119,1956,93,Debit Card,Mail,6.5
120,1956,93,Debit Card,Pick Up,6
121,3471,94,Debit Card,Mail,6.5
122,748,95,Credit Card,Mail,6.5
123,2400,96,Debit Card,Mail,6.5
124,814,97,Debit Card,Mail,6.5
125,421,98,Debit Card,Pick Up,6
126,1669,99,Debit Card,Pick Up,6
127,3062,100,Credit Card,Mail,6.5
128,3062,100,Debit Card,Pick Up,6
129,211,101,Debit Card,Mail,6.5
130,211,101,Credit Card,Pick Up,6
131,2651,102,Cash,Pick Up,6
132,1654,103,Debit Card,Pick Up,6
133,3447,104,Credit Card,Mail,6.5
134,3447,104,Cash,Mail,6.5
135,2831,105,Cash,Mail,6.5
136,3922,106,Debit Card,Mail,6.5
137,3041,107,Debit Card,Mail,6.5
138,2778,108,Debit Card,Mail,6.5
139,2917,109,Credit Card,Mail,6.5
140,1335,110,Cash,Pick Up,6
141,3418,111,Credit Card,Pick Up,6
142,3418,111,Debit Card,Pick Up,6
143,4591,112,Cash,Pick Up,6
144,4591,112,Debit Card,Pick Up,6
145,3386,113,Cash,Pick Up,6
146,4666,114,Debit Card,Pick Up,6
147,3091,115,Debit Card,Mail,6.5
148,3091,115,Cash,Mail,6.5
149,550,116,Debit Card,Mail,6.5
150,3380,117,Credit Card,Pick Up,6
151,4640,118,Credit Card,Pick Up,6
152,917,119,Credit Card,Mail,6.5
153,3492,120,Debit Card,Mail,6.5
154,3263,121,Credit Card,Mail,6.5
155,4803,122,Credit Card,Pick Up,6
156,4803,122,Credit Card,Pick Up,6
157,2913,123,Debit Card,Mail,6.5
158,2913,123,Cash,Pick Up,6
159,4122,124,Debit Card,Pick Up,6
160,3006,125,Credit Card,Mail,6.5
161,3172,126,Debit Card,Pick Up,6
162,3172,126,Cash,Mail,6.5
163,3429,127,Debit Card,Pick Up,6
164,4385,128,Cash,Pick Up,6
165,2913,129,Credit Card,Pick Up,6
166,3976,130,Debit Card,Pick Up,6
167,3842,131,Cash,Mail,6.5
168,4768,132,Debit Card,Pick Up,6
169,324,133,Cash,Pick Up,6
170,324,133,Cash,Mail,6.5
171,1592,134,Debit Card,Pick Up,6
172,1592,134,Debit Card,Pick Up,6
173,504,135,Cash,Pick Up,6
174,30,136,Cash,Pick Up,6
175,2146,137,Debit Card,Mail,6.5
176,2146,137,Debit Card,Pick Up,6
177,1894,138,Debit Card,Pick Up,6
178,576,139,Debit Card,Mail,6.5
179,1468,140,Cash,Pick Up,6
180,1015,141,Debit Card,Mail,6.5
181,1241,142,Credit Card,Mail,6.5
182,2056,143,Credit Card,Mail,6.5
183,4132,144,Debit Card,Pick Up,6
184,4132,144,Debit Card,Mail,6.5
185,949,145,Debit Card,Pick Up,6
186,949,145,Debit Card,Mail,6.5
187,1565,146,Cash,Pick Up,6
188,1603,147,Debit Card,Pick Up,6
189,787,148,Credit Card,Pick Up,6
190,787,148,Cash,Pick Up,6
191,1547,149,Debit Card,Mail,6.5
192,2420,150,Cash,Pick Up,6
193,490,151,Debit Card,Mail,6.5
194,1438,152,Cash,Mail,6.5
195,1737,153,Cash,Mail,6.5
196,4203,154,Cash,Pick Up,6
197,1550,155,Cash,Pick Up,6
198,1550,155,Debit Card,Mail,6.5
199,454,156,Credit Card,Pick Up,6
200,454,156,Credit Card,Pick Up,6
201,1001,157,Cash,Mail,6.5
202,1369,158,Cash,Pick Up,6
203,409,159,Cash,Pick Up,6
204,409,159,Debit Card,Pick Up,6
205,4051,160,Cash,Mail,6.5
206,1730,161,Credit Card,Pick Up,6
207,1368,162,Debit Card,Pick Up,6
208,3389,163,Credit Card,Pick Up,6
209,2230,164,Credit Card,Mail,6.5
210,1799,165,Cash,Pick Up,6
211,2877,166,Debit Card,Pick Up,6
212,2877,166,Cash,Pick Up,6
213,4962,167,Cash,Pick Up,6
214,4962,167,Credit Card,Pick Up,6
215,4121,168,Debit Card,Mail,6.5
216,3051,169,Cash,Mail,6.5
217,4540,170,Credit Card,Pick Up,6
218,4540,170,Credit Card,Mail,6.5
219,3958,171,Credit Card,Pick Up,6
220,3368,172,Cash,Pick Up,6
221,3892,173,Debit Card,Mail,6.5
222,1535,174,Debit Card,Pick Up,6
223,3881,175,Debit Card,Mail,6.5
224,3453,176,Debit Card,Mail,6.5
225,4096,177,Cash,Pick Up,6
226,4096,177,Cash,Pick Up,6
227,4901,178,Credit Card,Pick Up,6
228,4901,178,Cash,Mail,6.5
229,3324,179,Credit Card,Mail,6.5
230,4958,180,Credit Card,Mail,6.5
231,2860,181,Cash,Mail,6.5
232,2860,181,Cash,Pick Up,6
233,1356,182,Cash,Mail,6.5
234,4368,183,Debit Card,Pick Up,6
235,4588,184,Credit Card,Mail,6.5
236,3546,185,Cash,Pick Up,6
237,4919,186,Credit Card,Pick Up,6
238,3286,187,Credit Card,Pick Up,6
239,4464,188,Debit Card,Mail,6.5
240,4464,188,Credit Card,Pick Up,6
241,2845,189,Cash,Mail,6.5
242,2845,189,Credit Card,Mail,6.5
243,4662,190,Credit Card,Pick Up,6
244,4325,191,Credit Card,Pick Up,6
245,3667,192,Debit Card,Pick Up,6
246,3667,192,Credit Card,Pick Up,6
247,4477,193,Credit Card,Mail,6.5
248,4299,194,Cash,Pick Up,6
249,2603,195,Cash,Pick Up,6
250,4449,196,Credit Card,Pick Up,6
251,4474,197,Credit Card,Pick Up,6
252,3297,198,Debit Card,Mail,6.5
253,62,199,Cash,Pick Up,6
254,62,199,Cash,Pick Up,6
255,2476,200,Debit Card,Pick Up,6
256,2476,200,Credit Card,Pick Up,6
257,244,201,Debit Card,Pick Up,6
258,3093,202,Cash,Mail,6.5
259,628,203,Credit Card,Mail,6.5
260,628,203,Debit Card,Pick Up,6
261,1083,204,Debit Card,Pick Up,6
262,1864,205,Credit Card,Mail,6.5
263,1445,206,Cash,Mail,6.5
264,389,207,Debit Card,Pick Up,6
265,1930,208,Cash,Mail,6.5
266,96,209,Debit Card,Mail,6.5
267,3215,210,Cash,Pick Up,6
268,3215,210,Cash,Pick Up,6
269,676,211,Debit Card,Pick Up,6
270,676,211,Debit Card,Pick Up,6
271,2586,212,Credit Card,Mail,6.5
272,1415,213,Credit Card,Mail,6.5
273,8,214,Credit Card,Pick Up,6
274,8,214,Cash,Mail,6.5
275,2044,215,Cash,Pick Up,6
276,1406,216,Cash,Pick Up,6
277,2354,217,Credit Card,Mail,6.5
278,1198,218,Cash,Mail,6.5
279,1230,219,Cash,Pick Up,6
280,1622,220,Credit Card,Mail,6.5
281,1032,221,Cash,Pick Up,6
282,1032,221,Credit Card,Mail,6.5
283,1407,222,Cash,Pick Up,6
284,1407,222,Credit Card,Mail,6.5
285,415,223,Credit Card,Pick Up,6
286,1851,224,Credit Card,Mail,6.5
287,1722,225,Credit Card,Pick Up,6
288,1722,225,Credit Card,Pick Up,6
289,2552,226,Debit Card,Pick Up,6
290,906,227,Credit Card,Mail,6.5
291,162,228,Credit Card,Mail,6.5
292,2082,229,Debit Card,Mail,6.5
293,855,230,Credit Card,Mail,6.5
294,255,231,Credit Card,Pick Up,6
295,198,232,Cash,Mail,6.5
296,198,232,Credit Card,Mail,6.5
297,4478,233,Credit Card,Mail,6.5
298,4478,233,Cash,Mail,6.5
299,4257,234,Credit Card,Pick Up,6
300,4741,235,Debit Card,Mail,6.5
301,3795,236,Debit Card,Mail,6.5
302,3795,236,Credit Card,Pick Up,6
303,3629,237,Credit Card,Pick Up,6
304,3659,238,Debit Card,Pick Up,6
305,4598,239,Cash,Pick Up,6
306,1794,240,Cash,Pick Up,6
307,1616,241,Cash,Mail,6.5
308,3677,242,Credit Card,Pick Up,6
309,4184,243,Credit Card,Mail,6.5
310,4184,243,Cash,Mail,6.5
311,3540,244,Debit Card,Pick Up,6
312,3540,244,Cash,Mail,6.5
313,4514,245,Cash,Pick Up,6
314,3794,246,Cash,Pick Up,6
315,4198,247,Cash,Pick Up,6
316,4198,247,Credit Card,Mail,6.5
317,3932,248,Debit Card,Mail,6.5
318,4452,249,Credit Card,Pick Up,6
319,4009,250,Debit Card,Pick Up,6
320,468,251,Debit Card,Mail,6.5
321,4654,252,Cash,Pick Up,6
322,2816,253,Debit Card,Pick Up,6
323,3307,254,Debit Card,Pick Up,6
324,3307,254,Cash,Pick Up,6
325,3141,255,Cash,Pick Up,6
326,3141,255,Cash,Mail,6.5
327,4401,256,Debit Card,Pick Up,6
328,3339,257,Cash,Mail,6.5
329,4543,258,Debit Card,Mail,6.5
330,4543,258,Credit Card,Pick Up,6
331,3570,259,Cash,Mail,6.5
332,3111,260,Credit Card,Mail,6.5
333,4913,261,Credit Card,Mail,6.5
334,2697,262,Cash,Mail,6.5
335,3104,263,Debit Card,Mail,6.5
336,3078,264,Credit Card,Pick Up,6
337,4451,265,Debit Card,Mail,6.5
338,4451,265,Cash,Mail,6.5
339,502,266,Credit Card,Pick Up,6
340,502,266,Credit Card,Mail,6.5
341,646,267,Credit Card,Mail,6.5
342,251,268,Debit Card,Pick Up,6
343,1980,269,Debit Card,Mail,6.5
344,1980,269,Cash,Mail,6.5
345,2045,270,Cash,Mail,6.5
346,823,271,Credit Card,Pick Up,6
347,1784,272,Debit Card,Mail,6.5
348,2339,273,Cash,Pick Up,6
349,526,274,Cash,Mail,6.5
350,2961,275,Debit Card,Mail,6.5
351,311,276,Debit Card,Pick Up,6
352,311,276,Debit Card,Pick Up,6
353,1095,277,Credit Card,Mail,6.5
354,1095,277,Debit Card,Mail,6.5
355,4359,278,Debit Card,Mail,6.5
356,1540,279,Debit Card,Mail,6.5
357,1122,280,Debit Card,Pick Up,6
358,1122,280,Cash,Mail,6.5
359,1739,281,Credit Card,Pick Up,6
360,3559,282,Credit Card,Pick Up,6
361,770,283,Debit Card,Mail,6.5
362,2351,284,Debit Card,Pick Up,6
363,1621,285,Cash,Pick Up,6
364,4066,286,Cash,Mail,6.5
365,3743,287,Debit Card,Pick Up,6
366,3743,287,Debit Card,Pick Up,6
367,444,288,Cash,Pick Up,6
368,444,288,Credit Card,Pick Up,6
369,33,289,Credit Card,Mail,6.5
370,2517,290,Debit Card,Pick Up,6
371,414,291,Credit Card,Pick Up,6
372,414,291,Debit Card,Mail,6.5
373,1874,292,Credit Card,Pick Up,6
374,1842,293,Debit Card,Pick Up,6
375,2123,294,Cash,Mail,6.5
376,3299,295,Debit Card,Pick Up,6
377,1157,296,Credit Card,Mail,6.5
378,260,297,Debit Card,Mail,6.5
379,2801,298,Debit Card,Pick Up,6
380,2801,298,Debit Card,Mail,6.5
381,4531,299,Debit Card,Mail,6.5
382,4531,299,Cash,Pick Up,6
383,3905,300,Cash,Pick Up,6
384,4877,301,Credit Card,Mail,6.5
385,68,302,Cash,Pick Up,6
386,68,302,Debit Card,Pick Up,6
387,4416,303,Cash,Mail,6.5
388,3300,304,Cash,Pick Up,6
389,3312,305,Credit Card,Pick Up,6
390,4909,306,Cash,Pick Up,6
391,4285,307,Debit Card,Mail,6.5
392,3472,308,Cash,Mail,6.5
393,4095,309,Cash,Pick Up,6
394,4095,309,Debit Card,Pick Up,6
395,3893,310,Cash,Pick Up,6
396,3893,310,Credit Card,Mail,6.5
397,3348,311,Credit Card,Pick Up,6
398,3184,312,Credit Card,Pick Up,6
399,709,313,Debit Card,Mail,6.5
400,709,313,Credit Card,Pick Up,6
401,4858,314,Cash,Mail,6.5
402,357,315,Credit Card,Mail,6.5
403,2858,316,Credit Card,Mail,6.5
404,3546,317,Credit Card,Mail,6.5
405,4782,318,Debit Card,Mail,6.5
406,4828,319,Debit Card,Pick Up,6
407,4391,320,Cash,Pick Up,6
408,4391,320,Debit Card,Pick Up,6
409,4716,321,Cash,Pick Up,6
410,4716,321,Cash,Mail,6.5
411,4038,322,Debit Card,Mail,6.5
412,4785,323,Cash,Pick Up,6
413,2659,324,Cash,Mail,6.5
414,2659,324,Debit Card,Mail,6.5
415,3500,325,Credit Card,Mail,6.5
416,4013,326,Cash,Pick Up,6
417,3234,327,Credit Card,Mail,6.5
418,3992,328,Cash,Pick Up,6
419,2636,329,Debit Card,Mail,6.5
420,1405,330,Cash,Mail,6.5
421,586,331,Debit Card,Pick Up,6
422,586,331,Cash,Pick Up,6
423,2460,332,Cash,Pick Up,6
424,2460,332,Cash,Pick Up,6
425,1047,333,Credit Card,Mail,6.5
426,1557,334,Cash,Pick Up,6
427,399,335,Debit Card,Pick Up,6
428,399,335,Debit Card,Mail,6.5
429,1549,336,Debit Card,Pick Up,6
430,644,337,Debit Card,Pick Up,6
431,3898,338,Cash,Pick Up,6
432,67,339,Cash,Mail,6.5
433,719,340,Debit Card,Mail,6.5
434,214,341,Debit Card,Pick Up,6
435,707,342,Cash,Pick Up,6
436,707,342,Credit Card,Mail,6.5
437,1863,343,Debit Card,Pick Up,6
438,1863,343,Debit Card,Mail,6.5
439,367,344,Credit Card,Pick Up,6
440,1702,345,Cash,Pick Up,6
441,1636,346,Credit Card,Mail,6.5
442,1636,346,Credit Card,Mail,6.5
443,1952,347,Cash,Mail,6.5
444,274,348,Debit Card,Mail,6.5
445,1103,349,Debit Card,Mail,6.5
446,108,350,Credit Card,Pick Up,6
447,3497,351,Credit Card,Mail,6.5
448,3665,352,Credit Card,Pick Up,6
449,1580,353,Debit Card,Mail,6.5
450,1580,353,Cash,Mail,6.5
451,1658,354,Debit Card,Pick Up,6
452,1658,354,Credit Card,Mail,6.5
453,1394,355,Debit Card,Mail,6.5
454,2213,356,Credit Card,Pick Up,6
455,1853,357,Credit Card,Pick Up,6
456,1853,357,Cash,Mail,6.5
457,4757,358,Credit Card,Pick Up,6
458,1895,359,Debit Card,Mail,6.5
459,2008,360,Cash,Mail,6.5
460,633,361,Credit Card,Pick Up,6
461,1779,362,Credit Card,Mail,6.5
462,1942,363,Cash,Pick Up,6
463,2778,364,Credit Card,Pick Up,6
464,2778,364,Debit Card,Pick Up,6
465,4633,365,Cash,Mail,6.5
466,4633,365,Cash,Pick Up,6
467,3216,366,Credit Card,Pick Up,6
468,3509,367,Debit Card,Pick Up,6
469,4788,368,Debit Card,Pick Up,6
470,4788,368,Debit Card,Pick Up,6
471,4415,369,Cash,Pick Up,6
472,3771,370,Cash,Mail,6.5
473,4087,371,Debit Card,Mail,6.5
474,4682,372,Debit Card,Pick Up,6
475,4446,373,Credit Card,Pick Up,6
476,3251,374,Credit Card,Mail,6.5
477,4797,375,Credit Card,Pick Up,6
478,4797,375,Cash,Pick Up,6
479,572,376,Credit Card,Pick Up,6
480,572,376,Credit Card,Pick Up,6
481,4166,377,Cash,Pick Up,6
482,4163,378,Debit Card,Pick Up,6
483,4174,379,Debit Card,Pick Up,6
484,4174,379,Cash,Mail,6.5
485,3618,380,Credit Card,Pick Up,6
486,3484,381,Credit Card,Mail,6.5
487,4040,382,Debit Card,Pick Up,6
488,3736,383,Debit Card,Mail,6.5
489,2999,384,Credit Card,Mail,6.5
490,3680,385,Cash,Pick Up,6
