PER#,P#,THEATRE#,PDATE,PHOUR,PMINUTE,COMMENTS
692,13,3,17-MAY-18,18,45,Earlier start evening
693,13,3,17-MAY-18,14,0,Earlier start day time
694,1,4,11-MAY-18,19,30,Normal evening time
695,1,4,12-MAY-18,19,30,Normal evening time
696,1,4,13-MAY-18,19,30,Normal evening time
697,1,4,13-MAY-18,14,30,Normal day time
698,1,4,14-MAY-18,19,30,Normal evening time
699,1,4,15-MAY-18,19,30,Normal evening time
700,1,4,15-MAY-18,14,30,Normal day time
701,1,4,16-MAY-18,19,30,Normal evening time
702,1,4,16-MAY-18,14,30,Normal day time
703,1,4,17-MAY-18,18,45,Earlier start evening
704,1,4,17-MAY-18,14,0,Earlier start day time
705,2,5,11-MAY-18,19,30,Normal evening time
706,2,5,12-MAY-18,19,30,Normal evening time
707,2,5,13-MAY-18,19,30,Normal evening time
708,2,5,13-MAY-18,14,30,Normal day time
709,2,5,14-MAY-18,19,30,Normal evening time
710,2,5,15-MAY-18,19,30,Normal evening time
711,2,5,15-MAY-18,14,30,Normal day time
712,2,5,16-MAY-18,19,30,Normal evening time
713,2,5,16-MAY-18,14,30,Normal day time
714,2,5,17-MAY-18,18,45,Earlier start evening
715,2,5,17-MAY-18,14,0,Earlier start day time
716,3,6,11-MAY-18,19,30,Normal evening time
717,3,6,12-MAY-18,19,30,Normal evening time
718,3,6,13-MAY-18,19,30,Normal evening time
719,3,6,13-MAY-18,14,30,Normal day time
720,3,6,14-MAY-18,19,30,Normal evening time
721,3,6,15-MAY-18,19,30,Normal evening time
722,3,6,15-MAY-18,14,30,Normal day time
723,3,6,16-MAY-18,19,30,Normal evening time
724,3,6,16-MAY-18,14,30,Normal day time
725,3,6,17-MAY-18,18,45,Earlier start evening
726,3,6,17-MAY-18,14,0,Earlier start day time
727,12,1,18-MAY-18,19,30,Normal evening time
728,12,1,19-MAY-18,19,30,Normal evening time
729,12,1,20-MAY-18,19,30,Normal evening time
730,12,1,20-MAY-18,14,30,Normal day time
731,12,1,21-MAY-18,19,30,Normal evening time
732,12,1,22-MAY-18,19,30,Normal evening time
733,12,1,22-MAY-18,14,30,Normal day time
734,12,1,23-MAY-18,19,30,Normal evening time
735,12,1,23-MAY-18,14,30,Normal day time
736,12,1,24-MAY-18,18,45,Earlier start evening
737,12,1,24-MAY-18,14,0,Earlier start day time
738,13,2,18-MAY-18,19,30,Normal evening time
739,13,2,19-MAY-18,19,30,Normal evening time
740,13,2,20-MAY-18,19,30,Normal evening time
741,13,2,20-MAY-18,14,30,Normal day time
742,13,2,21-MAY-18,19,30,Normal evening time
743,13,2,22-MAY-18,19,30,Normal evening time
744,13,2,22-MAY-18,14,30,Normal day time
745,13,2,23-MAY-18,19,30,Normal evening time
746,13,2,23-MAY-18,14,30,Normal day time
747,13,2,24-MAY-18,18,45,Earlier start evening
748,13,2,24-MAY-18,14,0,Earlier start day time
749,1,3,18-MAY-18,19,30,Normal evening time
750,1,3,19-MAY-18,19,30,Normal evening time
751,1,3,20-MAY-18,19,30,Normal evening time
752,1,3,20-MAY-18,14,30,Normal day time
1,1,1,02-MAR-18,19,30,Normal evening time
2,1,1,03-MAR-18,19,30,Normal evening time
3,1,1,04-MAR-18,19,30,Normal evening time
4,1,1,04-MAR-18,14,30,Normal day time
5,1,1,05-MAR-18,19,30,Normal evening time
6,1,1,06-MAR-18,19,30,Normal evening time
7,1,1,06-MAR-18,14,30,Normal day time
8,1,1,07-MAR-18,19,30,Normal evening time
9,1,1,07-MAR-18,14,30,Normal day time
10,1,1,08-MAR-18,18,45,Earlier start evening
11,1,1,08-MAR-18,14,0,Earlier start day time
12,2,2,02-MAR-18,19,30,Normal evening time
13,2,2,03-MAR-18,19,30,Normal evening time
14,2,2,04-MAR-18,19,30,Normal evening time
15,2,2,04-MAR-18,14,30,Normal day time
16,2,2,05-MAR-18,19,30,Normal evening time
17,2,2,06-MAR-18,19,30,Normal evening time
18,2,2,06-MAR-18,14,30,Normal day time
19,2,2,07-MAR-18,19,30,Normal evening time
20,2,2,07-MAR-18,14,30,Normal day time
21,2,2,08-MAR-18,18,45,Earlier start evening
22,2,2,08-MAR-18,14,0,Earlier start day time
23,3,3,02-MAR-18,19,30,Normal evening time
24,3,3,03-MAR-18,19,30,Normal evening time
25,3,3,04-MAR-18,19,30,Normal evening time
26,3,3,04-MAR-18,14,30,Normal day time
27,3,3,05-MAR-18,19,30,Normal evening time
28,3,3,06-MAR-18,19,30,Normal evening time
29,3,3,06-MAR-18,14,30,Normal day time
30,3,3,07-MAR-18,19,30,Normal evening time
31,3,3,07-MAR-18,14,30,Normal day time
32,3,3,08-MAR-18,18,45,Earlier start evening
33,3,3,08-MAR-18,14,0,Earlier start day time
34,4,4,02-MAR-18,19,30,Normal evening time
35,4,4,03-MAR-18,19,30,Normal evening time
36,4,4,04-MAR-18,19,30,Normal evening time
37,4,4,04-MAR-18,14,30,Normal day time
38,4,4,05-MAR-18,19,30,Normal evening time
39,4,4,06-MAR-18,19,30,Normal evening time
40,4,4,06-MAR-18,14,30,Normal day time
41,4,4,07-MAR-18,19,30,Normal evening time
42,4,4,07-MAR-18,14,30,Normal day time
43,4,4,08-MAR-18,18,45,Earlier start evening
44,4,4,08-MAR-18,14,0,Earlier start day time
45,5,5,02-MAR-18,19,30,Normal evening time
46,5,5,03-MAR-18,19,30,Normal evening time
47,5,5,04-MAR-18,19,30,Normal evening time
48,5,5,04-MAR-18,14,30,Normal day time
49,5,5,05-MAR-18,19,30,Normal evening time
50,5,5,06-MAR-18,19,30,Normal evening time
51,5,5,06-MAR-18,14,30,Normal day time
52,5,5,07-MAR-18,19,30,Normal evening time
53,5,5,07-MAR-18,14,30,Normal day time
54,5,5,08-MAR-18,18,45,Earlier start evening
55,5,5,08-MAR-18,14,0,Earlier start day time
56,6,6,02-MAR-18,19,30,Normal evening time
57,6,6,03-MAR-18,19,30,Normal evening time
58,6,6,04-MAR-18,19,30,Normal evening time
59,6,6,04-MAR-18,14,30,Normal day time
60,6,6,05-MAR-18,19,30,Normal evening time
61,6,6,06-MAR-18,19,30,Normal evening time
62,6,6,06-MAR-18,14,30,Normal day time
63,6,6,07-MAR-18,19,30,Normal evening time
64,6,6,07-MAR-18,14,30,Normal day time
65,6,6,08-MAR-18,18,45,Earlier start evening
66,6,6,08-MAR-18,14,0,Earlier start day time
67,2,1,09-MAR-18,19,30,Normal evening time
68,2,1,10-MAR-18,19,30,Normal evening time
69,2,1,11-MAR-18,19,30,Normal evening time
70,2,1,11-MAR-18,14,30,Normal day time
71,2,1,12-MAR-18,19,30,Normal evening time
72,2,1,13-MAR-18,19,30,Normal evening time
73,2,1,13-MAR-18,14,30,Normal day time
74,2,1,14-MAR-18,19,30,Normal evening time
75,2,1,14-MAR-18,14,30,Normal day time
76,2,1,15-MAR-18,18,45,Earlier start evening
77,2,1,15-MAR-18,14,0,Earlier start day time
78,3,2,09-MAR-18,19,30,Normal evening time
79,3,2,10-MAR-18,19,30,Normal evening time
80,3,2,11-MAR-18,19,30,Normal evening time
81,3,2,11-MAR-18,14,30,Normal day time
82,3,2,12-MAR-18,19,30,Normal evening time
83,3,2,13-MAR-18,19,30,Normal evening time
84,3,2,13-MAR-18,14,30,Normal day time
85,3,2,14-MAR-18,19,30,Normal evening time
86,3,2,14-MAR-18,14,30,Normal day time
87,3,2,15-MAR-18,18,45,Earlier start evening
88,3,2,15-MAR-18,14,0,Earlier start day time
89,4,3,09-MAR-18,19,30,Normal evening time
90,4,3,10-MAR-18,19,30,Normal evening time
91,4,3,11-MAR-18,19,30,Normal evening time
92,4,3,11-MAR-18,14,30,Normal day time
93,4,3,12-MAR-18,19,30,Normal evening time
94,4,3,13-MAR-18,19,30,Normal evening time
95,4,3,13-MAR-18,14,30,Normal day time
96,4,3,14-MAR-18,19,30,Normal evening time
97,4,3,14-MAR-18,14,30,Normal day time
98,4,3,15-MAR-18,18,45,Earlier start evening
99,4,3,15-MAR-18,14,0,Earlier start day time
100,5,4,09-MAR-18,19,30,Normal evening time
101,5,4,10-MAR-18,19,30,Normal evening time
102,5,4,11-MAR-18,19,30,Normal evening time
103,5,4,11-MAR-18,14,30,Normal day time
104,5,4,12-MAR-18,19,30,Normal evening time
105,5,4,13-MAR-18,19,30,Normal evening time
106,5,4,13-MAR-18,14,30,Normal day time
107,5,4,14-MAR-18,19,30,Normal evening time
108,5,4,14-MAR-18,14,30,Normal day time
109,5,4,15-MAR-18,18,45,Earlier start evening
110,5,4,15-MAR-18,14,0,Earlier start day time
111,6,5,09-MAR-18,19,30,Normal evening time
112,6,5,10-MAR-18,19,30,Normal evening time
113,6,5,11-MAR-18,19,30,Normal evening time
114,6,5,11-MAR-18,14,30,Normal day time
115,6,5,12-MAR-18,19,30,Normal evening time
116,6,5,13-MAR-18,19,30,Normal evening time
117,6,5,13-MAR-18,14,30,Normal day time
118,6,5,14-MAR-18,19,30,Normal evening time
119,6,5,14-MAR-18,14,30,Normal day time
120,6,5,15-MAR-18,18,45,Earlier start evening
121,6,5,15-MAR-18,14,0,Earlier start day time
122,7,6,09-MAR-18,19,30,Normal evening time
123,7,6,10-MAR-18,19,30,Normal evening time
124,7,6,11-MAR-18,19,30,Normal evening time
125,7,6,11-MAR-18,14,30,Normal day time
126,7,6,12-MAR-18,19,30,Normal evening time
127,7,6,13-MAR-18,19,30,Normal evening time
128,7,6,13-MAR-18,14,30,Normal day time
129,7,6,14-MAR-18,19,30,Normal evening time
130,7,6,14-MAR-18,14,30,Normal day time
131,7,6,15-MAR-18,18,45,Earlier start evening
132,7,6,15-MAR-18,14,0,Earlier start day time
133,3,1,16-MAR-18,19,30,Normal evening time
134,3,1,17-MAR-18,19,30,Normal evening time
135,3,1,18-MAR-18,19,30,Normal evening time
136,3,1,18-MAR-18,14,30,Normal day time
137,3,1,19-MAR-18,19,30,Normal evening time
138,3,1,20-MAR-18,19,30,Normal evening time
139,3,1,20-MAR-18,14,30,Normal day time
140,3,1,21-MAR-18,19,30,Normal evening time
141,3,1,21-MAR-18,14,30,Normal day time
142,3,1,22-MAR-18,18,45,Earlier start evening
143,3,1,22-MAR-18,14,0,Earlier start day time
144,4,2,16-MAR-18,19,30,Normal evening time
145,4,2,17-MAR-18,19,30,Normal evening time
146,4,2,18-MAR-18,19,30,Normal evening time
147,4,2,18-MAR-18,14,30,Normal day time
148,4,2,19-MAR-18,19,30,Normal evening time
149,4,2,20-MAR-18,19,30,Normal evening time
150,4,2,20-MAR-18,14,30,Normal day time
151,4,2,21-MAR-18,19,30,Normal evening time
152,4,2,21-MAR-18,14,30,Normal day time
153,4,2,22-MAR-18,18,45,Earlier start evening
154,4,2,22-MAR-18,14,0,Earlier start day time
155,5,3,16-MAR-18,19,30,Normal evening time
156,5,3,17-MAR-18,19,30,Normal evening time
157,5,3,18-MAR-18,19,30,Normal evening time
158,5,3,18-MAR-18,14,30,Normal day time
159,5,3,19-MAR-18,19,30,Normal evening time
160,5,3,20-MAR-18,19,30,Normal evening time
161,5,3,20-MAR-18,14,30,Normal day time
162,5,3,21-MAR-18,19,30,Normal evening time
163,5,3,21-MAR-18,14,30,Normal day time
164,5,3,22-MAR-18,18,45,Earlier start evening
165,5,3,22-MAR-18,14,0,Earlier start day time
166,6,4,16-MAR-18,19,30,Normal evening time
167,6,4,17-MAR-18,19,30,Normal evening time
168,6,4,18-MAR-18,19,30,Normal evening time
169,6,4,18-MAR-18,14,30,Normal day time
170,6,4,19-MAR-18,19,30,Normal evening time
171,6,4,20-MAR-18,19,30,Normal evening time
172,6,4,20-MAR-18,14,30,Normal day time
173,6,4,21-MAR-18,19,30,Normal evening time
174,6,4,21-MAR-18,14,30,Normal day time
175,6,4,22-MAR-18,18,45,Earlier start evening
176,6,4,22-MAR-18,14,0,Earlier start day time
177,7,5,16-MAR-18,19,30,Normal evening time
178,7,5,17-MAR-18,19,30,Normal evening time
179,7,5,18-MAR-18,19,30,Normal evening time
180,7,5,18-MAR-18,14,30,Normal day time
181,7,5,19-MAR-18,19,30,Normal evening time
182,7,5,20-MAR-18,19,30,Normal evening time
183,7,5,20-MAR-18,14,30,Normal day time
184,7,5,21-MAR-18,19,30,Normal evening time
185,7,5,21-MAR-18,14,30,Normal day time
186,7,5,22-MAR-18,18,45,Earlier start evening
187,7,5,22-MAR-18,14,0,Earlier start day time
188,8,6,16-MAR-18,19,30,Normal evening time
189,8,6,17-MAR-18,19,30,Normal evening time
190,8,6,18-MAR-18,19,30,Normal evening time
191,8,6,18-MAR-18,14,30,Normal day time
192,8,6,19-MAR-18,19,30,Normal evening time
193,8,6,20-MAR-18,19,30,Normal evening time
194,8,6,20-MAR-18,14,30,Normal day time
195,8,6,21-MAR-18,19,30,Normal evening time
196,8,6,21-MAR-18,14,30,Normal day time
197,8,6,22-MAR-18,18,45,Earlier start evening
198,8,6,22-MAR-18,14,0,Earlier start day time
199,4,1,23-MAR-18,19,30,Normal evening time
200,4,1,24-MAR-18,19,30,Normal evening time
201,4,1,25-MAR-18,19,30,Normal evening time
202,4,1,25-MAR-18,14,30,Normal day time
203,4,1,26-MAR-18,19,30,Normal evening time
204,4,1,27-MAR-18,19,30,Normal evening time
205,4,1,27-MAR-18,14,30,Normal day time
206,4,1,28-MAR-18,19,30,Normal evening time
207,4,1,28-MAR-18,14,30,Normal day time
208,4,1,29-MAR-18,18,45,Earlier start evening
209,4,1,29-MAR-18,14,0,Earlier start day time
210,5,2,23-MAR-18,19,30,Normal evening time
211,5,2,24-MAR-18,19,30,Normal evening time
212,5,2,25-MAR-18,19,30,Normal evening time
213,5,2,25-MAR-18,14,30,Normal day time
214,5,2,26-MAR-18,19,30,Normal evening time
215,5,2,27-MAR-18,19,30,Normal evening time
216,5,2,27-MAR-18,14,30,Normal day time
217,5,2,28-MAR-18,19,30,Normal evening time
218,5,2,28-MAR-18,14,30,Normal day time
219,5,2,29-MAR-18,18,45,Earlier start evening
220,5,2,29-MAR-18,14,0,Earlier start day time
221,6,3,23-MAR-18,19,30,Normal evening time
222,6,3,24-MAR-18,19,30,Normal evening time
223,6,3,25-MAR-18,19,30,Normal evening time
224,6,3,25-MAR-18,14,30,Normal day time
225,6,3,26-MAR-18,19,30,Normal evening time
226,6,3,27-MAR-18,19,30,Normal evening time
227,6,3,27-MAR-18,14,30,Normal day time
228,6,3,28-MAR-18,19,30,Normal evening time
229,6,3,28-MAR-18,14,30,Normal day time
230,6,3,29-MAR-18,18,45,Earlier start evening
231,6,3,29-MAR-18,14,0,Earlier start day time
232,7,4,23-MAR-18,19,30,Normal evening time
233,7,4,24-MAR-18,19,30,Normal evening time
234,7,4,25-MAR-18,19,30,Normal evening time
235,7,4,25-MAR-18,14,30,Normal day time
236,7,4,26-MAR-18,19,30,Normal evening time
237,7,4,27-MAR-18,19,30,Normal evening time
238,7,4,27-MAR-18,14,30,Normal day time
239,7,4,28-MAR-18,19,30,Normal evening time
240,7,4,28-MAR-18,14,30,Normal day time
241,7,4,29-MAR-18,18,45,Earlier start evening
242,7,4,29-MAR-18,14,0,Earlier start day time
243,8,5,23-MAR-18,19,30,Normal evening time
244,8,5,24-MAR-18,19,30,Normal evening time
245,8,5,25-MAR-18,19,30,Normal evening time
246,8,5,25-MAR-18,14,30,Normal day time
247,8,5,26-MAR-18,19,30,Normal evening time
248,8,5,27-MAR-18,19,30,Normal evening time
249,8,5,27-MAR-18,14,30,Normal day time
250,8,5,28-MAR-18,19,30,Normal evening time
251,8,5,28-MAR-18,14,30,Normal day time
252,8,5,29-MAR-18,18,45,Earlier start evening
253,8,5,29-MAR-18,14,0,Earlier start day time
254,9,6,23-MAR-18,19,30,Normal evening time
255,9,6,24-MAR-18,19,30,Normal evening time
256,9,6,25-MAR-18,19,30,Normal evening time
257,9,6,25-MAR-18,14,30,Normal day time
258,9,6,26-MAR-18,19,30,Normal evening time
259,9,6,27-MAR-18,19,30,Normal evening time
260,9,6,27-MAR-18,14,30,Normal day time
261,9,6,28-MAR-18,19,30,Normal evening time
262,9,6,28-MAR-18,14,30,Normal day time
263,9,6,29-MAR-18,18,45,Earlier start evening
264,9,6,29-MAR-18,14,0,Earlier start day time
265,5,1,30-MAR-18,19,30,Normal evening time
266,5,1,31-MAR-18,19,30,Normal evening time
267,5,1,01-APR-18,19,30,Normal evening time
268,5,1,01-APR-18,14,30,Normal day time
269,5,1,02-APR-18,19,30,Normal evening time
270,5,1,03-APR-18,19,30,Normal evening time
271,5,1,03-APR-18,14,30,Normal day time
272,5,1,04-APR-18,19,30,Normal evening time
273,5,1,04-APR-18,14,30,Normal day time
274,5,1,05-APR-18,18,45,Earlier start evening
275,5,1,05-APR-18,14,0,Earlier start day time
276,6,2,30-MAR-18,19,30,Normal evening time
277,6,2,31-MAR-18,19,30,Normal evening time
278,6,2,01-APR-18,19,30,Normal evening time
279,6,2,01-APR-18,14,30,Normal day time
280,6,2,02-APR-18,19,30,Normal evening time
281,6,2,03-APR-18,19,30,Normal evening time
282,6,2,03-APR-18,14,30,Normal day time
283,6,2,04-APR-18,19,30,Normal evening time
284,6,2,04-APR-18,14,30,Normal day time
285,6,2,05-APR-18,18,45,Earlier start evening
286,6,2,05-APR-18,14,0,Earlier start day time
287,7,3,30-MAR-18,19,30,Normal evening time
288,7,3,31-MAR-18,19,30,Normal evening time
289,7,3,01-APR-18,19,30,Normal evening time
290,7,3,01-APR-18,14,30,Normal day time
291,7,3,02-APR-18,19,30,Normal evening time
292,7,3,03-APR-18,19,30,Normal evening time
293,7,3,03-APR-18,14,30,Normal day time
294,7,3,04-APR-18,19,30,Normal evening time
295,7,3,04-APR-18,14,30,Normal day time
296,7,3,05-APR-18,18,45,Earlier start evening
297,7,3,05-APR-18,14,0,Earlier start day time
298,8,4,30-MAR-18,19,30,Normal evening time
299,8,4,31-MAR-18,19,30,Normal evening time
300,8,4,01-APR-18,19,30,Normal evening time
301,8,4,01-APR-18,14,30,Normal day time
302,8,4,02-APR-18,19,30,Normal evening time
303,8,4,03-APR-18,19,30,Normal evening time
304,8,4,03-APR-18,14,30,Normal day time
305,8,4,04-APR-18,19,30,Normal evening time
306,8,4,04-APR-18,14,30,Normal day time
307,8,4,05-APR-18,18,45,Earlier start evening
308,8,4,05-APR-18,14,0,Earlier start day time
309,9,5,30-MAR-18,19,30,Normal evening time
310,9,5,31-MAR-18,19,30,Normal evening time
311,9,5,01-APR-18,19,30,Normal evening time
312,9,5,01-APR-18,14,30,Normal day time
313,9,5,02-APR-18,19,30,Normal evening time
314,9,5,03-APR-18,19,30,Normal evening time
315,9,5,03-APR-18,14,30,Normal day time
316,9,5,04-APR-18,19,30,Normal evening time
317,9,5,04-APR-18,14,30,Normal day time
318,9,5,05-APR-18,18,45,Earlier start evening
319,9,5,05-APR-18,14,0,Earlier start day time
320,10,6,30-MAR-18,19,30,Normal evening time
321,10,6,31-MAR-18,19,30,Normal evening time
322,10,6,01-APR-18,19,30,Normal evening time
323,10,6,01-APR-18,14,30,Normal day time
324,10,6,02-APR-18,19,30,Normal evening time
325,10,6,03-APR-18,19,30,Normal evening time
326,10,6,03-APR-18,14,30,Normal day time
327,10,6,04-APR-18,19,30,Normal evening time
328,10,6,04-APR-18,14,30,Normal day time
329,10,6,05-APR-18,18,45,Earlier start evening
330,10,6,05-APR-18,14,0,Earlier start day time
331,6,1,06-APR-18,19,30,Normal evening time
332,6,1,07-APR-18,19,30,Normal evening time
333,6,1,08-APR-18,19,30,Normal evening time
334,6,1,08-APR-18,14,30,Normal day time
335,6,1,09-APR-18,19,30,Normal evening time
336,6,1,10-APR-18,19,30,Normal evening time
337,6,1,10-APR-18,14,30,Normal day time
338,6,1,11-APR-18,19,30,Normal evening time
339,6,1,11-APR-18,14,30,Normal day time
340,6,1,12-APR-18,18,45,Earlier start evening
341,6,1,12-APR-18,14,0,Earlier start day time
342,7,2,06-APR-18,19,30,Normal evening time
343,7,2,07-APR-18,19,30,Normal evening time
344,7,2,08-APR-18,19,30,Normal evening time
345,7,2,08-APR-18,14,30,Normal day time
346,7,2,09-APR-18,19,30,Normal evening time
347,7,2,10-APR-18,19,30,Normal evening time
348,7,2,10-APR-18,14,30,Normal day time
349,7,2,11-APR-18,19,30,Normal evening time
350,7,2,11-APR-18,14,30,Normal day time
351,7,2,12-APR-18,18,45,Earlier start evening
352,7,2,12-APR-18,14,0,Earlier start day time
353,8,3,06-APR-18,19,30,Normal evening time
354,8,3,07-APR-18,19,30,Normal evening time
355,8,3,08-APR-18,19,30,Normal evening time
356,8,3,08-APR-18,14,30,Normal day time
357,8,3,09-APR-18,19,30,Normal evening time
358,8,3,10-APR-18,19,30,Normal evening time
359,8,3,10-APR-18,14,30,Normal day time
360,8,3,11-APR-18,19,30,Normal evening time
361,8,3,11-APR-18,14,30,Normal day time
362,8,3,12-APR-18,18,45,Earlier start evening
363,8,3,12-APR-18,14,0,Earlier start day time
364,9,4,06-APR-18,19,30,Normal evening time
365,9,4,07-APR-18,19,30,Normal evening time
366,9,4,08-APR-18,19,30,Normal evening time
367,9,4,08-APR-18,14,30,Normal day time
368,9,4,09-APR-18,19,30,Normal evening time
369,9,4,10-APR-18,19,30,Normal evening time
370,9,4,10-APR-18,14,30,Normal day time
371,9,4,11-APR-18,19,30,Normal evening time
372,9,4,11-APR-18,14,30,Normal day time
373,9,4,12-APR-18,18,45,Earlier start evening
374,9,4,12-APR-18,14,0,Earlier start day time
375,10,5,06-APR-18,19,30,Normal evening time
376,10,5,07-APR-18,19,30,Normal evening time
377,10,5,08-APR-18,19,30,Normal evening time
378,10,5,08-APR-18,14,30,Normal day time
379,10,5,09-APR-18,19,30,Normal evening time
380,10,5,10-APR-18,19,30,Normal evening time
381,10,5,10-APR-18,14,30,Normal day time
382,10,5,11-APR-18,19,30,Normal evening time
383,10,5,11-APR-18,14,30,Normal day time
384,10,5,12-APR-18,18,45,Earlier start evening
385,10,5,12-APR-18,14,0,Earlier start day time
386,11,6,06-APR-18,19,30,Normal evening time
387,11,6,07-APR-18,19,30,Normal evening time
388,11,6,08-APR-18,19,30,Normal evening time
389,11,6,08-APR-18,14,30,Normal day time
390,11,6,09-APR-18,19,30,Normal evening time
391,11,6,10-APR-18,19,30,Normal evening time
392,11,6,10-APR-18,14,30,Normal day time
393,11,6,11-APR-18,19,30,Normal evening time
394,11,6,11-APR-18,14,30,Normal day time
395,11,6,12-APR-18,18,45,Earlier start evening
396,11,6,12-APR-18,14,0,Earlier start day time
397,7,1,13-APR-18,19,30,Normal evening time
398,7,1,14-APR-18,19,30,Normal evening time
399,7,1,15-APR-18,19,30,Normal evening time
400,7,1,15-APR-18,14,30,Normal day time
401,7,1,16-APR-18,19,30,Normal evening time
402,7,1,17-APR-18,19,30,Normal evening time
403,7,1,17-APR-18,14,30,Normal day time
404,7,1,18-APR-18,19,30,Normal evening time
405,7,1,18-APR-18,14,30,Normal day time
406,7,1,19-APR-18,18,45,Earlier start evening
407,7,1,19-APR-18,14,0,Earlier start day time
408,8,2,13-APR-18,19,30,Normal evening time
409,8,2,14-APR-18,19,30,Normal evening time
410,8,2,15-APR-18,19,30,Normal evening time
411,8,2,15-APR-18,14,30,Normal day time
412,8,2,16-APR-18,19,30,Normal evening time
413,8,2,17-APR-18,19,30,Normal evening time
414,8,2,17-APR-18,14,30,Normal day time
