ID	GradPR	VAF
116	0.8168196	0.2783812
117	0.684944	0.2831424
118	0.8728228	0.2518235
119	0.7858198	0.4084419
120	0.7004132	0.3119333
121	0.7865514	0.326342
122	0.7160292	0.3968983
123	0.73439	0.3414784
124	0.6878164	0.4101118
125	0.7565142	0.3612154
126	0.7183659	0.4116523
127	0.7783138	0.2671229
128	0.6709993	0.340075
129	0.8027435	0.3457603
130	0.8032324	0.319976
131	0.6919008	0.4113658
132	0.7289032	0.3681574
133	0.7775034	0.3667003
134	0.7564433	0.3643545
135	0.6692294	0.3143
136	0.7659923	0.2988584
137	0.7688242	0.4038097
138	0.7807333	0.3760727
139	0.7625483	0.3733408
140	0.7346698	0.3510819
141	0.7990595	0.3658088
142	0.7464376	0.2883632
143	0.6942098	0.39813
144	0.6440361	0.3280559
145	0.6884112	0.344512
146	0.7706628	0.3842146
147	0.7748533	0.4201992
148	0.6989873	0.3881188
149	0.714546	0.4068569
150	0.743442	0.3558647
151	0.6817896	0.3243761
152	0.8306661	0.311181
153	0.7233337	0.3302038
154	0.6928702	0.4062985
155	0.8558539	0.2551444
156	0.6930497	0.4119756
157	0.7622821	0.3522596
158	0.7276156	0.4406887
159	0.808521	0.3184838
160	0.703384	0.3652891
161	0.706751	0.4397571
162	0.7967678	0.3504416
163	0.8248949	0.33479
164	0.7347111	0.3554249
165	0.7629533	0.3162005
166	0.8166001	0.3541419
167	0.8699169	0.3306954
168	0.79603	0.382179
169	0.7292618	0.3493015
170	0.7721299	0.3025422
171	0.748667	0.3904774
172	0.7510459	0.4218859
173	0.792028	0.3247987
174	0.7233396	0.266048
175	0.830019	0.3182033
176	0.7637574	0.3008012
177	0.754009	0.3427697
178	0.8238555	0.3964912
179	0.718199	0.3459226
180	0.7074266	0.267717
181	0.7674096	0.284763
182	0.7074715	0.4118644
183	0.8193169	0.3878489
184	0.738762	0.3527586
185	0.7172895	0.3485442
186	0.7393809	0.270297
187	0.7239596	0.3371717
188	0.7531894	0.4054117
189	0.7744409	0.3049177
190	0.8046459	0.2940443
191	0.7118945	0.2907606
192	0.8184958	0.3137395
193	0.7964546	0.3137602
194	0.8265279	0.2489619
195	0.7642972	0.3419253
196	0.7632275	0.3559729
197	0.7597131	0.3535445
198	0.7086717	0.2591302
199	0.8002675	0.4135646
200	0.8720147	0.34297
201	0.7238137	0.2954947
202	0.8003451	0.434882
203	0.7414068	0.3463722
204	0.7355041	0.3522982
205	0.6783853	0.4181647
206	0.8173914	0.4380761
207	0.7354315	0.359479
208	0.7761957	0.3747979
209	0.7306552	0.2981119
210	0.6896096	0.3368885
211	0.7660112	0.3961125
212	0.7405386	0.3633325
213	0.6603384	0.3563334
214	0.8048639	0.3607534
215	0.8062653	0.3746065
216	0.7324	0.3616775
217	0.7829875	0.3071438
218	0.6853461	0.3677205
219	0.713599	0.4421301
220	0.7602269	0.4212785
221	0.6188458	0.286112
222	0.7565516	0.4008348
223	0.7253785	0.3596289
224	0.8059344	0.3503626
225	0.8112043	0.3565696
226	0.7837435	0.3405531
227	0.8362715	0.3494625
228	0.7358435	0.3478614
229	0.7030796	0.4407964
230	0.6557683	0.2925808
231	0.7327788	0.318204
232	0.7625746	0.3399082
233	0.7354581	0.3762715
234	0.8413737	0.3598001
235	0.8023824	0.2734241
236	0.7155859	0.4198971
237	0.7714397	0.359116
238	0.7399811	0.263416
239	0.82526	0.3277454
240	0.7540892	0.3722148
241	0.8081172	0.3712589
242	0.8668604	0.331635
243		
244	0.7263398	0.3860574
245	0.726991	0.356427
246	0.8398404	0.3139215
247	0.7387261	0.3385849
248	0.7705272	0.3250564
249	0.7769626	0.3315369
250	0.8412267	0.3970145
251	0.7895996	0.3554396
252	0.7252454	0.372095
253	0.7095748	0.3966824
254	0.7311053	0.3321464
255	0.7695804	0.3331197
